timestamp,text,predicted_intent,confidence,correct_intent
2026-09-09 15:37:31,what is machine learning,GENERAL,0.9241776339838155,GENERAL
2026-09-09 15:37:48,What is the temperature of Delhi today?,REAL_TIME,0.8251519206620019,REAL_TIME
2026-09-09 15:37:57,tell the current price of bitcoin,REAL_TIME,0.5994335906331658,REAL_TIME
2026-09-09 15:38:18,why do we use database,AUTOMATION,0.42325916212768083,GENERAL
2026-09-09 15:38:25,tell me latest cricket score,REAL_TIME,0.5858099132105655,REAL_TIME
2026-09-09 15:45:22,tell me the latest cricket score,REAL_TIME,0.6601342909864649,REAL_TIME
2026-09-09 22:08:14,open song,AUTOMATION,0.8921557253323442,
2026-09-09 22:08:20,open Chrome,AUTOMATION,0.9455999051388122,
2026-09-09 22:08:30,open youtube,AUTOMATION,0.8934739463230637,
2026-09-09 22:08:39,open calculator,AUTOMATION,0.8241030395043817,
2026-09-09 23:01:40,open Chrome,AUTOMATION,0.9455999051388122,
2026-09-09 23:02:06,open youtube,AUTOMATION,0.8934739463230637,
2026-09-09 23:05:10,calculator,AUTOMATION,0.5807211024937736,
2026-09-09 23:52:01,open youtube,AUTOMATION,0.8934739463230637,
2026-09-09 23:52:31,open Chrome,AUTOMATION,0.9455999051388122,
2026-09-10 00:14:03,open Chrome,AUTOMATION,0.9455999051388122,
2026-09-10 00:14:31,song calling,AUTOMATION,0.6062994685035804,
2026-09-10 00:15:15,song,AUTOMATION,0.6062994685035804,
2026-09-10 00:15:46,what is machine learning,GENERAL,0.936704323934556,
